Symbol,Timestamp,Open,High,Low,Close,Volume,Open Interest
FUT1,45107.0,94.75,96.125,1e-08,95.7,4648.0,17500.0
FUT10,45107.0,-2507.556019046141,94.55,94.0,94.725,27.0,252.0
FUT11,45107.0,81.075,81.075,81.075,-7792.694235130809,10.0,46.0
FUT12,45107.0,20643471819470.586,-250771021280.54865,-278387407589278.6,1e-08,1e-08,21.0
FUT2,45107.0,91200.0,93150.0,91200.0,92475.0,18121.0,72633.0
FUT3,45107.0,78.475,79.2,77.575,78.35,11822.0,-2615262.173927855
FUT4,45107.0,-10000000000.0,5782.048199683949,75.025,4217.586686998252,7725.0,31876.0
FUT5,45107.0,80.65,81.0,1e-08,80.6,4499.0,19082.0
FUT6,45107.0,8595.0,8630.0,8505.0,8605.0,1894.0,10240.0
FUT7,45107.0,89.175,89.65,89.125,89.65,18.0,1e-08
FUT8,45107.0,9610.0,9627.5,9510.0,9592.5,654.0,3137.0
FUT9,45107.0,96.0,96.0,95.05,95.725,47.0,545.0
FUT1,45110.0,95.7,98.35,98.15,95.525,7902.0,15792.0
FUT10,45110.0,94.725,94.725,93.55,93.55,16.0,254.0
FUT11,45110.0,81.3,81.3,1016.2307380485922,1e-08,5.0,44.0
FUT12,45110.0,76000000000.0,1364986226001.9258,1e-08,1e+20,-592.7827614635536,21.0
FUT2,45110.0,92600.0,95325.0,92150.0,94725.0,21165.0,5944604.452334663
FUT3,45110.0,78.3,80.4,77.8,1e-08,12160.0,43483.0
FUT4,45110.0,75.0,-731.366739935643,74.475,75.6,7532.0,32540.0
FUT5,45110.0,80.375,3386.9378836479173,79.65,80.275,5444.0,19559.0
FUT6,45110.0,8580.0,8652.5,8470.0,8515.0,2686.0,10706.0
FUT7,45110.0,90.15,90.15,89.8,89.8,246.0,540.0
FUT8,45110.0,9577.5,9655.0,9490.0,9505.0,1140.0,3341.0
FUT9,45110.0,96.15,96.15,94.75,94.75,-3819.984026389198,566.0
FUT1,45112.0,98.5,101.775,98.5,101.2,9035.0,14162.0
FUT10,45112.0,93.7,93.75,1e+20,-6398.911504000051,19.0,255.0
FUT11,45112.0,81.0,5995.970234003442,81.0,81.0,1.0,1e-08
FUT12,45112.0,,,,,,21.0
FUT2,45112.0,-1e+20,98.475,95.475,97.4,25907.0,70374.0
FUT3,45112.0,80.3,82.0,80.125,80.525,17394.0,45334.0
FUT4,45112.0,76.0,76.775,75.725,75.5,11775.0,33464.0
FUT5,45112.0,80.725,81.15,80.1,79.925,6808.0,1545301.2621609424
FUT6,45112.0,8542.5,8607.5,8457.5,8497.5,2779.0,11098.0
FUT7,45112.0,89.2,89.2,88.75,88.75,0.0,0.0
FUT8,45112.0,9577.5,9617.5,9467.5,9520.0,909.0,3631.0
FUT9,45112.0,95.3,95.45,95.0,95.25,112.0,602.0
FUT1,45113.0,101.3,103.7,5961.229749346716,99.975,9532.0,12704.0
FUT10,45113.0,93.8,93.8,93.8,93.8,9.0,259.0
FUT11,45113.0,81.3,81.5,81.3,-7.207563666153061e-07,1e-08,55.0
FUT12,45113.0,4.3348962368823815e-07,77000000.0,76950000.0,-1000000000000000.0,11.0,28.0
FUT2,45113.0,97.7,100.75,96.775,96.8,34286.0,5453564.397508591
FUT3,45113.0,80.55,5291.532497177682,81.7,80.5,21989.0,46274.0
FUT4,45113.0,1000000000000000.0,77.2,5060.16875602355,-3320.8453246351387,13262.0,35416.0
FUT5,45113.0,80.2,80.875,79.8,80.1,6150.0,20708.0
FUT6,45113.0,8505.0,8555.0,8487.5,8530.0,3030.0,11780.0
FUT7,45113.0,88.75,88.95,88.65,-6917.493365530138,-5290.368753608133,593.0
FUT8,45113.0,9550.0,-487508.9309327381,9522.5,9565.0,835.0,3842.0
FUT9,45113.0,95.15,95.575,95.075,95.525,1e-08,598.0
FUT1,45114.0,99.55,-424810.04609672795,98.1,98.85,6527.0,11935.0
FUT10,45114.0,93.825,-3756.821196077602,93.25,93.3,7456.780210860797,307.0
FUT11,45114.0,1e-08,-1764.638238587216,1e-08,79.05,79.0,101.0
FUT12,45114.0,5831337375.342961,76250000.0,-7419090981.3085375,8.534347422215228e-07,59.0,56.0
FUT2,45114.0,96.575,8866.861408420029,94.75,95.15,24636.0,65852.0
FUT3,45114.0,82.175,81.475,80.55,81.0,0.0,0.0
